
time;gfx;gFy;gFz;Bx;By;Bz;
1,9390;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9490;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9610;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9690;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9790;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9890;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
1,9990;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0100;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0210;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0300;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0390;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0490;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0590;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0690;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0790;0,0059;-0,0958;0,9870;13,2500;-1,0000;35,5000;
2,0870;0,0039;-0,1251;0,9890;13,2500;-1,0000;35,5000;
2,0880;0,0039;-0,1251;0,9890;13,2500;-1,0000;35,5000;
2,0900;0,0039;-0,1251;0,9890;13,2500;-1,0000;35,5000;
2,0990;0,0039;-0,1251;0,9890;13,2500;-1,0000;35,5000;
2,1090;0,0039;-0,1251;0,9890;13,2500;-1,0000;35,5000;
2,1100;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1200;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1370;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1390;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1490;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1600;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1690;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1790;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1890;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,1990;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,2090;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,2200;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,2290;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,2510;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,2640;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,2730;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,2810;0,0039;-0,1251;0,9890;13,0000;0,0000;35,2500;
2,2880;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,2890;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,2990;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,3120;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,3150;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,3270;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,3480;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,3690;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,3840;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,3930;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,4080;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,4270;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
