time;x;y;z;MF
15,420;-23,25;-12,25;-66,25;71,27
15,471;202,25;-5,50;-282,50;347,48
15,521;134,50;-43,50;-92,00;168,66
15,572;49,75;-39,25;-55,50;84,24
15,621;0,00;-25,75;-56,25;61,86
15,673;-24,50;-16,75;-60,75;67,61
15,721;-35,75;-11,00;-63,25;73,48
15,772;-39,75;-8,00;-64,75;76,40
15,820;-42,25;-6,75;-65,50;78,24
15,870;-43,25;-5,50;-65,75;78,89
15,921;-43,25;-5,25;-66,50;79,50
15,973;-43,50;-5,50;-66,25;79,45
16,072;-44,25;-5,25;-66,75;80,26
16,123;-44,50;-4,75;-66,50;80,16
16,182;-44,50;-4,75;-66,50;80,16
16,272;-43,50;-5,25;-66,25;79,43
16,322;-42,75;-5,50;-66,00;78,83
16,374;-42,75;-6,00;-66,50;79,28
16,424;-43,25;-5,25;-66,75;79,71
16,478;-43,75;-5,50;-66,00;79,37
16,575;-42,75;-7,50;-65,25;78,37
16,625;-39,75;-10,50;-61,75;74,18
16,682;-29,00;-23,50;-41,75;56,00
16,776;107,50;37,75;106,75;156,13
16,876;6,25;2,25;-32,25;32,93
16,925;-20,75;-1,75;-52,25;56,25
16,982;-34,75;-3,50;-60,75;70,07
17,077;-41,50;-4,25;-65,25;77,45
17,126;-43,00;-4,00;-66,00;78,87
17,180;-44,00;-4,25;-66,75;80,06
17,228;-44,00;-5,00;-67,00;80,31
17,278;-44,50;-5,50;-67,00;80,62
17,328;-44,25;-5,00;-66,75;80,24
17,381;-44,00;-4,50;-66,50;79,87
17,430;-44,00;-4,50;-66,50;79,87
17,482;-44,25;-4,50;-66,50;80,00
17,531;-44,00;-4,25;-66,00;79,44
17,582;-43,50;-4,75;-65,75;78,98
17,681;-42,75;-5,25;-66,75;79,44
17,730;-42,50;-5,50;-66,25;78,90
17,782;-42,00;-5,75;-66,00;78,44
17,831;-41,50;-6,75;-66,50;78,68
17,881;-37,00;-10,50;-66,75;77,04
17,930;-12,50;-31,75;-78,00;85,14
17,984;227,75;-25,50;-526,75;574,44
18,082;27,25;-53,00;-136,75;149,17
18,132;-12,75;-33,75;-90,25;97,19
18,182;-12,75;-33,75;-90,25;97,19
18,282;-38,75;-11,50;-69,25;80,18
18,332;-41,00;-7,50;-67,25;79,12
18,383;-42,50;-6,50;-66,50;79,19
18,482;-43,50;-5,25;-66,00;79,22
18,533;-43,75;-5,25;-65,75;79,15
18,584;-44,50;-5,25;-66,00;79,77
18,632;-44,25;-5,50;-66,25;79,86
18,686;-44,00;-5,00;-65,50;79,06
18,733;-43,75;-5,25;-66,25;79,57
18,784;-44,00;-5,50;-66,25;79,72
18,883;-43,50;-5,50;-65,75;79,03
18,934;-43,50;-5,75;-65,00;78,42
18,984;-43,25;-6,00;-65,00;78,30
19,084;-40,75;-6,75;-63,25;75,54
19,134;-37,00;-10,25;-59,00;70,39
19,184;-37,00;-10,25;-59,00;70,39
19,234;109,75;245,00;182,50;324,62
19,286;135,50;149,25;75,25;215,17
19,336;62,75;65,50;0,00;90,71
19,387;9,00;24,50;-37,00;45,28
19,436;-19,25;6,50;-54,25;57,93
19,486;-33,50;-0,50;-61,25;69,81
19,536;-38,75;-2,75;-64,00;74,87
19,586;-40,75;-3,75;-65,25;77,02
19,636;-42,00;-5,00;-65,75;78,18
19,686;-43,25;-5,25;-65,75;78,87
19,735;-43,50;-5,50;-65,50;78,82
19,786;-43,75;-6,25;-65,50;79,02
19,836;-44,25;-5,75;-65,25;79,05
19,888;-44,50;-5,50;-65,50;79,38
19,986;-43,75;-4,75;-65,50;78,91
20,036;-44,25;-4,50;-65,75;79,38
